rank,school,peer_rating,enroll,ft_students,ft_fac,nonres_tuition,sf_ratio,pct_doc,ug_gpa,gre,doc_acc,tot_pubs,tot_res
64,Syracuse University,3.5,502,244,45,43248,3.2,30.28,3.4,314,34.9,372,5.31
64,Texas Tech University,3,1424,294,70,18139,3.3,49.09,,300,56.7,485,12.1
64,University of Arkansas--Fayetteville,3,1282,407,83,28560,2.5,23.09,3.8,305,53.2,390,18.29
64,University of Hawaii--Manoa,3,888,193,91,22432,1.8,32.32,3.9,296,55.1,459,29.34
64,University of Kentucky,3.3,789,420,76,32896,3.3,44.99,,299,42.5,743,8.25
70,Howard University,3.5,205,119,32,44112,3.4,80.98,,294,96.7,173,3.14
70,Loyola Marymount University,2.9,854,540,30,43752,4.5,8.55,3,289,38.5,102,6.68
70,Oklahoma State University,3.1,1040,530,135,24720,2.3,43.08,3.3,304,40.5,309,12.51
70,University of Houston,3.2,882,305,49,16092,3.9,40.7,3.3,298,32.1,559,6.09
70,University of Louisville,3.1,1268,456,61,28340,2.5,16.09,3.3,303,51.2,406,12.24
70,University of North Carolina--Charlotte,3.1,1692,252,90,18482,2.1,15.96,,294,82.1,737,10.39
70,William & Mary,3.4,817,256,37,28305,3.5,24.48,3.3,298,67.6,186,6.87
77,Boise State University,2.8,553,99,44,24573,1.8,23.15,3.6,312,57.7,372,12.19
77,Lehigh University,3,414,129,26,14160,3.6,37.44,,,18.5,225,6.8
77,West Virginia University,2.7,334,129,52,26082,0.8,19.76,3.8,,57.1,446,5.34
80,Miami University,3,520,178,63,32698,1.4,21.92,3.2,282,60,381,6.49
80,University of California--Riverside,3.4,214,198,29,20136,3.2,34.11,3.6,311,11.1,312,2.89
80,University of California--Santa Barbara…,3.4,253,247,41,28974,3.9,61.66,3.3,,8.3,355,3.28
83,Binghamton University--SUNY,2.9,250,127,15,23112,3.3,22.4,3.9,,27.3,199,1.85
83,East Carolina University,2.7,1019,167,53,17898,3,12.17,3.2,289,72.7,431,3.7
83,George Mason University,3.1,1667,333,68,18216,4.5,15.48,3.4,300,73,758,10.04
83,Illinois State University,2.9,892,186,119,20664,1.8,33.52,3.8,297,74.1,370,7.97
83,Kansas State University,3.1,1205,236,38,23016,3.3,36.68,3.4,,89.1,294,6.59
83,Montclair State University,2.9,1951,607,101,16440,2.6,8.56,3.2,,46.4,272,9.77
83,Old Dominion University (Darden),2.8,1523,487,87,33456,2.5,18.98,3.3,297,59.5,489,9.91
83,Oregon State University,3.1,512,108,17,28242,1.8,30.66,3.3,,43.9,481,3.72
83,University at Albany--SUNY,3.1,1025,333,52,23100,4.7,31.9,,306,42.5,416,5.02
83,University of Denver (Morgridge),3.1,969,334,33,51091,6.1,27.66,3.3,300,38.2,295,5.16
83,University of Massachusetts--Amherst,3.5,399,266,52,31488,3.4,62.16,3.6,305,57.3,512,3.97
83,University of Nevada--Reno,3,502,138,45,21592,1.7,20.92,3.6,298,66.7,288,10.97
83,University of New Mexico,3,596,45,94,33648,0.9,34.06,3.1,308,33.3,507,
83,University of North Carolina--Greensboro,3.2,965,302,47,18938,3.2,23.73,3.4,298,74.7,415,5.27
83,University of Utah,3.2,579,334,52,25961,4.2,41.45,3.5,305,41.8,679,7.55
83,Virginia Tech,3.4,426,228,33,29238,4.4,53.29,3.3,307,73.6,722,3.14
99,Auburn University,3.2,925,385,80,41544,3.3,48.11,3.3,299,38.7,485,4.63
99,Kent State University,3,695,383,92,22523,1.4,28.63,3.3,,45.2,405,4.5
99,New Mexico State University,2.7,547,127,40,18023,2.4,26.69,3.3,310,34.9,182,
99,Portland State University,2.9,1008,340,43,16392,2.6,7.04,3.5,,24,245,6.68
99,Rowan University,2.6,1169,170,57,21000,1.8,18.14,3.3,,56.3,267,5.17
99,St. John's University,2.7,727,204,43,33600,3.6,48.28,3.2,293,51.3,209,3.18
99,University of Alabama--Birmingham,2.9,579,147,38,26616,3.1,15.37,3.3,,55,367,4.7
99,University of California--San Diego,3.4,52,52,20,27690,1.6,100,3.5,302,6.7,585,1.13
99,University of Colorado--Denver,3.2,1363,892,35,31992,6,25.46,3.3,300,27.4,297,3.52
99,University of Miami,3.3,532,449,29,55440,6.1,50.19,3.3,299,51.6,368,1.59
99,University of New Hampshire,2.8,170,51,10,15590,2.4,27.65,3.5,,52.2,297,5.06
99,University of North Texas,3,1141,341,67,18264,2.7,24.54,3.4,298,43,755,6.03
99,University of Oklahoma (Rainbolt),3,615,442,45,24600,4.3,36.91,3.1,305,92.1,380,12.11
