support,friends,education,female,age,attend,ideology,party
0,2,1,0,51,4,2,Republican
0,2,1,0,85,4,2,Republican
0,2,1,0,60,4,2,Independent
0,2,1,0,27,4,2,Independent
1,2,1,0,26,4,3,Republican
0,2,1,0,47,4,3,Independent
1,2,1,0,42,3,2,Independent
1,2,1,0,26,3,3,Republican
0,2,1,0,46,3,4,Independent
0,2,1,0,24,2,2,Independent
1,2,1,0,25,2,3,Republican
1,2,1,0,37,2,3,Democrat
1,2,1,0,28,2,4,Democrat
1,2,1,0,45,1,2,Republican
0,2,1,0,54,1,2,Republican
1,2,1,0,21,1,3,Independent
1,2,1,0,55,1,3,Independent
1,2,1,0,68,1,4,Democrat
1,2,1,0,73,0,3,Independent
1,2,1,0,56,0,5,Independent
0,2,1,1,66,5,2,Democrat
0,2,1,1,50,4,2,Republican
0,2,1,1,53,4,2,Democrat
0,2,1,1,54,4,3,Republican
1,2,1,1,39,4,3,Democrat
0,2,1,1,66,3,1,Democrat
1,2,1,1,60,3,3,Democrat
1,2,1,1,50,2,2,Republican
0,2,1,1,39,2,2,Republican
1,2,1,1,20,2,3,Republican
1,2,1,1,41,2,3,Democrat
1,2,1,1,70,2,3,Democrat
1,2,1,1,38,2,3,Independent
1,2,1,1,30,2,4,Democrat
1,2,1,1,59,2,4,Independent
1,2,1,1,70,1,2,Republican
1,2,1,1,80,1,2,Republican
1,2,1,1,67,1,3,Independent
1,2,1,1,19,1,3,Independent
1,2,1,1,23,1,3,Independent
1,2,1,1,23,1,4,Independent
1,2,1,1,51,0,3,Democrat
0,1,1,0,45,5,5,Democrat
0,1,1,0,24,3,1,Republican
0,1,1,0,32,3,3,Republican
0,1,1,0,48,2,1,Democrat
0,1,1,0,65,2,2,Republican
0,1,1,0,18,2,3,Republican
1,1,1,0,24,2,3,Independent
0,1,1,1,46,5,2,Democrat
0,1,1,1,43,5,2,Independent
0,1,1,1,81,5,3,Republican
0,1,1,1,80,4,3,Republican
0,1,1,1,65,4,3,Democrat
0,1,1,1,65,3,2,Republican
1,1,1,1,26,3,3,Independent
1,1,1,1,67,3,3,Independent
0,1,1,1,75,2,2,Republican
0,1,1,1,72,1,2,Republican
0,3,1,0,54,5,3,Independent
1,3,1,0,68,5,4,Democrat
1,3,1,0,61,4,2,Republican
1,3,1,0,46,4,3,Republican
1,3,1,0,70,4,3,Independent
1,3,1,0,82,4,4,Independent
1,3,1,0,62,1,3,Independent
1,3,1,0,26,1,4,Democrat
0,3,1,1,67,5,1,Republican
0,3,1,1,41,4,2,Independent
0,3,1,1,62,2,1,Republican
1,3,1,1,39,2,4,Independent
0,2,1,0,78,5,1,Independent
0,2,1,0,28,4,2,Republican
0,2,1,0,40,4,2,Independent
1,2,1,0,75,4,3,Independent
1,2,1,0,30,3,2,Republican
1,2,1,0,70,3,2,Democrat
0,2,1,0,31,3,2,Independent
1,2,1,0,26,3,3,Republican
0,2,1,0,73,2,1,Republican
0,2,1,0,68,2,2,Independent
1,2,1,0,48,2,2,Independent
1,2,1,0,54,2,3,Independent
0,2,1,0,64,1,2,Republican
1,2,1,0,39,1,2,Democrat
1,2,1,0,66,0,3,Independent
1,2,1,0,33,0,3,Independent
0,2,1,1,35,5,1,Republican
1,2,1,1,30,5,3,Democrat
0,2,1,1,78,4,1,Republican
0,2,1,1,28,4,1,Republican
1,2,1,1,55,4,2,Republican
1,2,1,1,42,4,3,Democrat
0,2,1,1,55,4,4,Republican
1,2,1,1,47,3,3,Republican
1,2,1,1,59,2,2,Republican
1,2,1,1,39,2,3,Republican
1,2,1,1,60,2,3,Republican
1,2,1,1,57,2,3,Democrat
1,2,1,1,50,2,4,Democrat
0,2,1,1,86,1,2,Independent
1,2,1,1,29,1,4,Republican
